City,Country,Date,Latitude,Longitude,Cloudiness,Max_Temp,Humidity,Wind_Speed
methoni,GR,1564801495.0,36.82,21.7,0.0,78.01,83.0,9.17
karratha,AU,1564801524.0,-20.74,116.85,74.0,76.3,14.0,22.79
turukhansk,RU,1564801524.0,65.8,87.96,67.0,65.68,55.0,13.82
mikhaylovka,RU,1564801524.0,52.96,103.29,45.0,73.06,68.0,3.31
miri,NG,1564801525.0,10.31,9.75,100.0,69.46,95.0,3.94
yumen,CN,1564801525.0,40.29,97.04,26.0,86.92,16.0,4.45
rikitea,PF,1564801525.0,-23.12,-134.97,79.0,69.46,77.0,16.82
beringovskiy,RU,1564801526.0,63.05,179.32,100.0,44.26,89.0,8.01
punta arenas,CL,1564801526.0,-53.16,-70.91,90.0,39.2,86.0,16.11
kapaa,US,1564801526.0,22.08,-159.32,40.0,87.8,70.0,17.22
chimbote,PE,1564801527.0,-9.08,-78.59,0.0,60.28,91.0,12.33
brae,GB,1564801527.0,60.4,-1.35,57.0,53.6,93.0,3.36
sambava,MG,1564801527.0,-14.27,50.17,2.0,63.34,88.0,3.56
fairbanks,US,1564801473.0,64.84,-147.72,90.0,60.01,100.0,5.82
ucluelet,CA,1564801528.0,48.94,-125.55,0.0,66.99,84.0,11.63
bluff,AU,1564801528.0,-23.58,149.07,0.0,71.8,38.0,16.71
spiridonovka,RU,1564801528.0,53.09,50.65,40.0,55.4,82.0,4.47
taolanaro,,,,,,,,
elko,US,1564801529.0,40.83,-115.76,1.0,91.4,10.0,9.17
ghauspur,PK,1564801529.0,28.14,69.08,79.0,87.8,58.0,4.7
tiksi,RU,1564801529.0,71.64,128.87,0.0,48.22,59.0,10.58
puerto escondido,MX,1564801530.0,15.86,-97.07,75.0,80.6,78.0,4.9
severnyy,,,,,,,,
khani,GE,1564801530.0,41.96,42.96,75.0,66.2,93.0,4.7
faanui,PF,1564801531.0,-16.48,-151.75,22.0,79.0,82.0,12.24
mar del plata,AR,1564801531.0,-46.43,-67.52,100.0,42.28,73.0,15.9
sarkand,KZ,1564801531.0,45.41,79.91,16.0,94.48,14.0,5.59
saint-philippe,CA,1564801532.0,45.36,-73.48,1.0,73.99,93.0,3.36
davila,PH,1564801532.0,18.47,120.58,40.0,87.8,70.0,11.41
saleaula,,,,,,,,
hilo,US,1564801532.0,19.71,-155.08,90.0,82.4,74.0,8.05
abu zabad,SD,1564801533.0,12.35,29.25,80.0,79.9,57.0,4.68
arraial do cabo,BR,1564801533.0,-22.97,-42.02,91.0,71.98,89.0,23.8
attawapiskat,,,,,,,,
husavik,CA,1564801533.0,50.56,-96.99,0.0,73.99,68.0,0.78
gazalkent,UZ,1564801534.0,41.57,69.78,0.0,87.8,29.0,9.17
nikolskoye,RU,1564801534.0,59.7,30.79,90.0,53.6,81.0,8.95
merrill,US,1564801534.0,42.03,-121.6,1.0,77.0,22.0,14.99
port alfred,ZA,1564801535.0,-33.59,26.89,78.0,57.99,83.0,5.99
ushuaia,AR,1564801326.0,-54.81,-68.31,75.0,41.0,56.0,12.75
cheremukhovo,RU,1564801535.0,56.23,46.23,38.0,50.02,89.0,5.86
carnarvon,ZA,1564801535.0,-30.97,22.13,0.0,41.74,47.0,6.8
vaitupu,,,,,,,,
esperance,AU,1564801536.0,-33.86,121.89,100.0,64.4,31.0,21.92
lakatoro,VU,1564801536.0,-16.11,167.42,70.0,76.66,79.0,20.69
georgetown,GY,1564801530.0,6.8,-58.16,20.0,77.0,94.0,4.7
mulchen,CL,1564801537.0,-37.72,-72.23,95.0,36.7,97.0,3.83
dalvik,SE,1564801537.0,57.79,14.13,38.0,57.99,87.0,5.82
samusu,,,,,,,,
lesnoy,RU,1564801538.0,59.78,52.13,100.0,48.04,98.0,11.9
vila franca do campo,PT,1564801538.0,37.72,-25.43,75.0,68.0,82.0,3.36
hithadhoo,MV,1564801538.0,-0.6,73.08,98.0,84.58,75.0,16.26
busselton,AU,1564801538.0,-33.64,115.35,0.0,66.99,54.0,17.13
hobart,AU,1564801539.0,-42.88,147.33,40.0,51.8,50.0,20.8
nortelandia,BR,1564801539.0,-14.45,-56.8,98.0,67.12,43.0,12.68
ruatoria,,,,,,,,
agadez,NE,1564801540.0,16.97,7.99,100.0,86.92,50.0,12.19
tocopilla,CL,1564801540.0,-22.09,-70.2,25.0,55.96,82.0,5.88
barcelos,BR,1564801540.0,-0.97,-62.93,4.0,74.14,89.0,1.25
nanortalik,GL,1564801541.0,60.14,-45.24,99.0,47.32,72.0,2.57
namatanai,PG,1564801541.0,-3.66,152.44,91.0,80.26,81.0,11.41
ancud,CL,1564801541.0,-41.87,-73.83,90.0,44.6,100.0,9.17
zhangjiakou,CN,1564801541.0,40.77,114.88,67.0,70.36,58.0,7.45
longyearbyen,NO,1564801542.0,78.22,15.63,40.0,46.4,75.0,1.12
hermanus,ZA,1564801542.0,-34.42,19.24,0.0,51.01,95.0,1.99
rognan,NO,1564801542.0,67.1,15.4,90.0,54.0,71.0,3.36
new norfolk,AU,1564801543.0,-42.78,147.06,40.0,51.8,50.0,20.8
klaksvik,FO,1564801543.0,62.23,-6.59,100.0,51.8,100.0,1.12
pevek,RU,1564801543.0,69.7,170.27,100.0,30.22,96.0,10.47
gao,ML,1564801544.0,16.28,-0.04,52.0,88.0,40.0,10.16
labuhan,ID,1564801544.0,-2.54,115.51,48.0,87.82,44.0,2.75
mataura,NZ,1564801544.0,-46.19,168.86,100.0,53.01,70.0,10.0
koutiala,ML,1564801544.0,12.39,-5.46,100.0,74.5,90.0,6.76
butaritari,KI,1564801545.0,3.07,172.79,100.0,84.4,64.0,6.89
opuwo,NA,1564801545.0,-18.06,13.84,6.0,47.32,70.0,1.61
zhoucheng,CN,1564801545.0,31.35,119.33,40.0,91.4,59.0,11.18
provideniya,RU,1564801546.0,64.42,-173.23,100.0,44.08,96.0,7.36
ortakoy,TR,1564801546.0,38.74,34.04,0.0,64.4,59.0,2.66
tuktoyaktuk,CA,1564801546.0,69.44,-133.03,40.0,59.0,54.0,9.17
male,UA,1564801547.0,50.74,33.7,0.0,48.76,94.0,3.58
ponta do sol,BR,1564801547.0,-20.63,-46.0,94.0,66.22,53.0,1.74
byron bay,AU,1564801547.0,-28.65,153.62,40.0,70.0,49.0,6.93
dingtao,CN,1564801548.0,35.07,115.56,5.0,88.72,62.0,7.78
bodden town,KY,1564801548.0,19.28,-81.25,0.0,82.4,83.0,10.65
mys shmidta,,,,,,,,
thompson,CA,1564801548.0,55.74,-97.86,75.0,71.6,46.0,5.82
saldanha,PT,1564801549.0,41.42,-6.55,0.0,65.68,57.0,3.11
clyde river,CA,1564801549.0,70.47,-68.59,90.0,46.4,87.0,16.11
russell,US,1564801449.0,38.9,-98.86,75.0,77.0,78.0,10.29
loon,NL,1564801550.0,53.01,6.61,90.0,64.4,88.0,6.93
albany,US,1564801550.0,42.65,-73.75,75.0,73.99,64.0,3.36
beyla,GN,1564801551.0,8.69,-8.65,100.0,68.0,98.0,2.62
yulara,AU,1564801551.0,-25.24,130.99,0.0,60.8,36.0,18.34
lebu,ET,1564801551.0,8.96,38.73,75.0,57.2,87.0,1.25
cockburn town,TC,1564801552.0,21.46,-71.14,0.0,83.32,78.0,19.71
yar-sale,RU,1564801552.0,66.83,70.83,93.0,57.4,90.0,18.41
hasaki,JP,1564801552.0,35.73,140.83,40.0,99.0,70.0,4.7
caravelas,BR,1564801552.0,-17.73,-39.27,0.0,68.56,85.0,7.94
xuddur,SO,1564801553.0,4.12,43.89,52.0,73.24,76.0,19.73
concarneau,FR,1564801553.0,47.88,-3.92,0.0,57.99,93.0,3.36
vao,EE,1564801553.0,59.1,26.19,27.0,52.54,86.0,7.58
port elizabeth,US,1564801554.0,39.31,-74.98,1.0,75.99,94.0,3.49
jumla,NP,1564801554.0,29.28,82.18,100.0,56.68,96.0,0.51
linxia,CN,1564801554.0,35.6,103.21,0.0,68.38,45.0,4.29
hirara,JP,1564801555.0,24.8,125.28,75.0,89.6,79.0,10.29
illoqqortoormiut,,,,,,,,
cape town,ZA,1564801432.0,-33.93,18.42,20.0,53.01,93.0,3.36
ngunguru,NZ,1564801555.0,-35.62,174.5,87.0,59.0,68.0,15.01
avarua,CK,1564801556.0,-21.21,-159.78,0.0,78.8,69.0,4.7
norman wells,CA,1564801556.0,65.28,-126.83,75.0,64.4,52.0,6.93
north bend,US,1564801303.0,43.41,-124.22,90.0,69.01,100.0,6.93
jamestown,AU,1564801556.0,-33.21,138.6,4.0,57.4,57.0,1.77
juneau,US,1564801518.0,58.3,-134.42,90.0,69.8,52.0,5.82
gudur,IN,1564801557.0,14.15,79.85,75.0,84.2,62.0,6.93
livingston,US,1564801557.0,32.58,-88.19,40.0,75.2,88.0,4.07
marystown,CA,1564801557.0,47.17,-55.16,5.0,59.92,91.0,11.1
lokosovo,RU,1564801558.0,61.13,74.84,35.0,64.96,77.0,13.38
bosaso,SO,1564801558.0,11.28,49.18,100.0,89.26,64.0,7.56
bethel,US,1564801353.0,60.79,-161.76,90.0,62.6,100.0,27.51
puerto ayora,EC,1564801559.0,-0.74,-90.35,45.0,66.99,95.0,5.01
plettenberg bay,ZA,1564801559.0,-34.05,23.37,0.0,51.1,81.0,4.27
karauzyak,,,,,,,,
qaanaaq,GL,1564801559.0,77.48,-69.36,1.0,40.48,71.0,2.21
robat karim,IR,1564801560.0,35.49,51.08,0.0,80.6,53.0,23.04
chapais,CA,1564801560.0,49.78,-74.86,90.0,59.0,100.0,5.82
kavieng,PG,1564801560.0,-2.57,150.8,79.0,82.78,76.0,13.44
portland,US,1564800690.0,43.66,-70.25,1.0,70.0,68.0,5.82
antalaha,MG,1564801561.0,-14.9,50.28,13.0,60.1,96.0,3.87
andros town,BS,1564801561.0,24.73,-77.79,75.0,84.2,79.0,4.7
sentyabrskiy,,,,,,,,
talnakh,RU,1564801562.0,69.49,88.39,0.0,68.0,52.0,8.95
namtsy,RU,1564801562.0,62.72,129.66,75.0,55.4,93.0,6.71
kargasok,RU,1564801562.0,59.06,80.87,83.0,70.0,72.0,8.08
mount gambier,AU,1564801563.0,-37.83,140.78,90.0,53.6,81.0,9.17
utiroa,,,,,,,,
zyryanka,RU,1564801563.0,65.73,150.89,100.0,56.68,45.0,8.88
pemberton,AU,1564801564.0,-34.44,116.03,0.0,66.99,77.0,5.01
kaitangata,NZ,1564801564.0,-46.28,169.85,100.0,53.01,60.0,4.0
la gomera,GT,1564801564.0,14.09,-91.05,33.0,83.5,77.0,7.61
barentsburg,,,,,,,,
codrington,AU,1564801565.0,-28.95,153.24,0.0,69.01,59.0,6.93
lucapa,AO,1564801565.0,-8.42,20.74,0.0,60.46,20.0,2.24
santiago del estero,AR,1564801565.0,-27.8,-64.26,0.0,50.2,32.0,4.7
katsuura,JP,1564801566.0,33.93,134.5,20.0,87.8,79.0,10.29
rusne,LT,1564801566.0,55.3,21.38,0.0,50.0,93.0,7.4
ostrovnoy,RU,1564801566.0,68.05,39.51,100.0,39.94,94.0,19.17
fortuna,US,1564801567.0,40.6,-124.16,1.0,66.0,88.0,11.41
emba,CY,1564801567.0,34.81,32.42,0.0,75.2,83.0,5.82
xining,CN,1564801567.0,36.62,101.77,39.0,62.08,52.0,4.56
ketchikan,US,1564801567.0,55.34,-131.65,1.0,71.6,60.0,17.22
porto belo,BR,1564801568.0,-27.15,-48.54,90.0,55.0,76.0,10.29
iqaluit,CA,1564801568.0,63.75,-68.52,90.0,42.8,93.0,8.05
alice springs,AU,1564801568.0,-23.7,133.88,0.0,60.8,38.0,12.75
anadyr,RU,1564801569.0,64.73,177.51,90.0,46.4,93.0,8.95
lorengau,PG,1564801569.0,-2.02,147.27,100.0,81.88,81.0,8.12
port lincoln,AU,1564801569.0,-34.72,135.86,99.0,56.5,64.0,5.66
whitehorse,CA,1564801570.0,60.72,-135.06,75.0,70.0,40.0,2.24
seymchan,RU,1564801570.0,62.93,152.39,100.0,51.64,60.0,11.61
bintulu,MY,1564801570.0,3.17,113.03,75.0,87.8,74.0,3.36
atuona,PF,1564801571.0,-9.8,-139.03,75.0,80.44,70.0,17.63
punta alta,AR,1564801571.0,-27.46,-55.82,0.0,50.0,61.0,5.82
vaini,IN,1564801571.0,15.34,74.49,75.0,71.6,94.0,16.11
louisbourg,,,,,,,,
baboua,,,,,,,,
hualmay,PE,1564801572.0,-11.1,-77.61,0.0,59.56,88.0,12.46
barrow,AR,1564801572.0,-38.31,-60.23,0.0,39.94,85.0,7.38
ambulu,ID,1564801572.0,-8.35,113.61,2.0,73.6,85.0,10.96
mier,IT,1564801573.0,46.13,12.19,0.0,66.2,93.0,3.36
dikson,RU,1564801573.0,73.51,80.55,100.0,39.22,92.0,14.29
aykhal,RU,1564801573.0,65.95,111.51,90.0,50.0,93.0,6.71
chokurdakh,RU,1564801574.0,70.62,147.9,0.0,54.88,43.0,8.37
camacupa,AO,1564801574.0,-12.02,17.48,0.0,50.92,25.0,0.58
george town,MY,1564801574.0,5.42,100.33,75.0,87.8,62.0,5.82
golpayegan,IR,1564801575.0,33.46,50.29,0.0,71.26,24.0,2.15
tymovskoye,RU,1564801575.0,50.85,142.66,91.0,64.06,72.0,6.58
hot springs,US,1564801575.0,34.5,-93.06,1.0,82.4,94.0,1.97
atikokan,CA,1564801575.0,48.76,-91.62,4.0,66.76,70.0,5.75
mangai,CD,1564801576.0,-4.07,19.59,80.0,73.96,71.0,1.54
mahebourg,MU,1564801430.0,-20.41,57.7,75.0,66.99,93.0,11.41
ikungi,TZ,1564801576.0,-5.13,34.77,1.0,59.38,82.0,7.96
dargaville,NZ,1564801577.0,-35.94,173.86,87.0,57.22,69.0,27.22
belushya guba,,,,,,,,
kibre mengist,ET,1564801577.0,5.87,38.99,100.0,53.8,97.0,1.32
iracoubo,GF,1564801577.0,5.48,-53.21,100.0,75.58,91.0,5.75
grand-lahou,CI,1564801578.0,5.24,-5.0,100.0,71.44,91.0,3.27
toamasina,MG,1564801558.0,-18.17,49.38,75.0,68.0,94.0,4.7
nome,US,1564801578.0,30.04,-94.42,1.0,84.0,88.0,5.14
narasannapeta,IN,1564801578.0,18.42,84.04,100.0,74.68,93.0,8.43
bambous virieux,MU,1564801579.0,-20.34,57.76,75.0,66.99,93.0,11.41
grand gaube,MU,1564801579.0,-20.01,57.66,75.0,66.99,93.0,11.41
vestmannaeyjar,IS,1564801579.0,63.44,-20.27,27.0,53.44,91.0,1.05
mastic beach,US,1564801346.0,40.77,-72.85,1.0,77.0,73.0,3.36
saskylakh,RU,1564801580.0,71.97,114.09,0.0,68.2,32.0,5.23
saint george,GR,1564801580.0,39.45,22.34,0.0,71.6,83.0,1.16
kruisfontein,ZA,1564801580.0,-34.0,24.73,0.0,49.48,89.0,7.94
tuatapere,NZ,1564801581.0,-46.13,167.69,100.0,53.01,70.0,10.0
upernavik,GL,1564801581.0,72.79,-56.15,27.0,46.06,72.0,6.73
castro,CL,1564801504.0,-42.48,-73.76,90.0,44.6,100.0,9.17
sorland,NO,1564801581.0,67.67,12.69,92.0,50.74,85.0,16.51
nantucket,US,1564801357.0,41.28,-70.1,1.0,69.01,88.0,3.36
pandan,PH,1564801582.0,11.72,122.09,100.0,81.34,80.0,19.64
kahului,US,1564801338.0,20.89,-156.47,20.0,80.6,78.0,9.17
vila,IT,1564801582.0,45.18,8.4,0.0,70.0,77.0,8.05
geraldton,CA,1564801464.0,49.72,-86.95,20.0,68.0,64.0,5.82
aras,ES,1564801583.0,42.56,-2.36,0.0,60.8,87.0,2.1
bolshaya irba,,,,,,,,
sotnikovo,RU,1564801583.0,51.88,107.48,80.0,73.4,64.0,2.24
torbay,CA,1564801584.0,47.66,-52.73,5.0,66.0,72.0,17.22
nouadhibou,MR,1564801584.0,20.93,-17.03,21.0,68.0,82.0,17.22
schoneiche,DE,1564801584.0,52.47,13.68,86.0,63.0,100.0,2.24
cranbrook,CA,1564801585.0,49.51,-115.76,75.0,78.8,27.0,6.93
alenquer,BR,1564801585.0,-1.95,-54.74,0.0,77.0,100.0,3.36
nizwa,OM,1564801585.0,22.93,57.53,99.0,86.74,35.0,2.66
yerbogachen,RU,1564801585.0,61.28,108.01,100.0,60.46,74.0,2.62
ankang,CN,1564801586.0,32.73,108.99,100.0,71.62,96.0,1.1
yatou,CM,1564801586.0,3.63,9.81,100.0,78.1,83.0,14.79
conceicao da barra,BR,1564801586.0,-18.59,-39.73,0.0,65.32,89.0,3.8
tura,RU,1564801587.0,64.27,100.22,71.0,58.3,63.0,11.12
kavaratti,IN,1564801587.0,10.57,72.64,100.0,82.78,80.0,17.49
santo antonio do ica,BR,1564801587.0,-3.1,-67.94,100.0,73.24,96.0,1.83
tumannyy,,,,,,,,
ulaanbaatar,MN,1564801418.0,47.92,106.92,20.0,78.8,36.0,8.95
lavrentiya,RU,1564801588.0,65.58,-170.99,100.0,43.72,97.0,10.6
yellowknife,CA,1564801588.0,62.45,-114.38,75.0,62.6,77.0,9.17
fort nelson,CA,1564801589.0,58.81,-122.69,40.0,75.2,41.0,5.82
sitka,US,1564801589.0,37.17,-99.65,4.0,82.0,72.0,13.0
bonavista,CA,1564801589.0,48.65,-53.11,12.0,64.99,78.0,11.99
san patricio,PY,1564801589.0,-26.98,-56.83,0.0,44.44,77.0,2.8
ouargaye,BF,1564801590.0,11.5,0.06,36.0,74.32,87.0,10.29
gambela,ET,1564801590.0,8.25,34.59,99.0,69.28,63.0,3.76
hamilton,CA,1564801466.0,43.26,-79.87,20.0,71.01,63.0,4.23
privokzalnyy,,,,,,,,
port macquarie,AU,1564801591.0,-31.43,152.91,0.0,73.0,45.0,5.82
meulaboh,ID,1564801591.0,4.14,96.13,99.0,82.24,75.0,8.34
davidson,CA,1564801591.0,51.26,-105.98,0.0,82.99,51.0,1.99
sao filipe,CV,1564801592.0,14.9,-24.5,0.0,74.14,86.0,17.29
willmar,US,1564801578.0,45.12,-95.04,75.0,75.2,78.0,3.11
san quintin,PH,1564801592.0,17.54,120.52,100.0,73.96,98.0,2.55
dudinka,RU,1564801592.0,69.41,86.18,0.0,68.0,52.0,8.95
ibra,OM,1564801593.0,22.69,58.55,69.0,86.02,40.0,5.35
astoria,US,1564801502.0,46.19,-123.83,1.0,69.01,77.0,8.05
kazalinsk,,,,,,,,
koluszki,PL,1564801593.0,51.74,19.82,0.0,59.0,93.0,1.12
komsomolskiy,RU,1564801594.0,67.55,63.78,100.0,60.28,81.0,18.61
atasu,KZ,1564801594.0,48.68,71.64,11.0,68.92,29.0,7.58
berdigestyakh,RU,1564801594.0,62.1,126.7,100.0,53.26,98.0,7.76
roald,NO,1564801595.0,62.58,6.12,100.0,57.2,82.0,11.41
sarangani,PH,1564801595.0,5.4,125.46,98.0,82.6,75.0,12.88
agidel,RU,1564801595.0,55.9,53.94,100.0,52.36,92.0,12.3
umm ruwabah,,,,,,,,
port-gentil,GA,1564801596.0,-0.72,8.78,61.0,74.32,85.0,14.25
muisne,EC,1564801596.0,0.61,-80.02,33.0,74.32,86.0,15.39
karoi,ZW,1564801596.0,-16.82,29.68,92.0,60.1,75.0,12.37
biak,ID,1564801597.0,-0.91,122.88,100.0,63.34,91.0,6.17
boende,CD,1564801597.0,-0.28,20.88,100.0,71.44,94.0,0.83
leningradskiy,RU,1564801597.0,69.38,178.42,98.0,33.82,90.0,13.82
praia da vitoria,PT,1564801598.0,38.73,-27.07,20.0,66.2,88.0,14.29
senno,RU,1564801598.0,57.76,27.95,68.0,53.6,93.0,6.71
bredasdorp,ZA,1564801598.0,-34.53,20.04,2.0,50.0,93.0,2.24
shenxian,CN,1564801598.0,36.24,115.67,89.0,84.76,62.0,8.5
kirkuk,IQ,1564801599.0,35.47,44.4,0.0,80.98,41.0,4.45
tshikapa,CD,1564801599.0,-6.42,20.79,71.0,68.92,31.0,2.28
rocha,UY,1564801599.0,-34.48,-54.34,47.0,42.64,81.0,11.32
khatanga,RU,1564801600.0,71.98,102.47,56.0,71.26,32.0,9.35
souillac,FR,1564801600.0,45.6,-0.6,0.0,64.0,93.0,1.12
san cristobal,HN,1564801600.0,14.68,-86.92,100.0,69.1,89.0,3.8
filadelfia,PY,1564801601.0,-22.35,-60.04,0.0,50.74,40.0,6.71
tezu,IN,1564801601.0,27.93,96.16,100.0,82.42,78.0,1.63
marienburg,DE,1564801601.0,52.12,9.98,75.0,63.0,100.0,3.36
aksu,KZ,1564801602.0,52.04,76.93,0.0,68.0,56.0,13.42
samalaeulu,,,,,,,,
palabuhanratu,,,,,,,,
faya,SA,1564801602.0,18.39,42.45,0.0,68.0,77.0,1.57
hoquiam,US,1564801602.0,46.98,-123.89,1.0,73.0,72.0,12.75
thinadhoo,MV,1564801603.0,0.53,72.93,100.0,83.86,78.0,15.7
lompoc,US,1564801388.0,34.64,-120.46,90.0,73.0,93.0,9.17
antofagasta,CL,1564801603.0,-23.65,-70.4,90.0,55.4,76.0,8.05
matinha,BR,1564801604.0,-3.1,-45.04,0.0,72.52,97.0,4.38
cherskiy,RU,1564801604.0,68.75,161.3,0.0,42.64,55.0,21.21
eureka,US,1564801447.0,40.8,-124.16,1.0,66.0,82.0,8.05
kieta,PG,1564801604.0,-6.22,155.63,28.0,81.88,76.0,17.36
chuy,UY,1564801605.0,-33.69,-53.46,100.0,48.04,73.0,13.98
muros,ES,1564801605.0,42.77,-9.06,90.0,64.0,100.0,3.36
kodiak,US,1564801605.0,39.95,-94.76,40.0,75.2,88.0,5.82
tasiilaq,GL,1564801606.0,65.61,-37.64,27.0,41.0,93.0,8.05
artyk,,,,,,,,
povenets,RU,1564801606.0,62.85,34.83,100.0,45.16,93.0,9.19
iralaya,HN,1564801606.0,15.0,-83.23,0.0,77.38,93.0,2.26
buenaventura,CO,1564801607.0,3.89,-77.07,100.0,79.0,84.0,10.04
kano,NG,1564801607.0,11.99,8.53,98.0,72.52,77.0,7.18
zhuhai,CN,1564801607.0,40.71,112.04,0.0,78.8,50.0,4.47
tautira,PF,1564801608.0,-17.73,-149.15,20.0,82.4,69.0,12.75
aberdeen,US,1564801608.0,46.98,-123.82,1.0,75.2,72.0,12.75
udachnyy,RU,1564801608.0,66.42,112.4,90.0,50.0,93.0,6.71
kununurra,AU,1564801609.0,-15.77,128.74,27.0,77.0,22.0,13.87
nanfeng,CN,1564801609.0,27.22,116.52,0.0,87.82,54.0,3.87
kirakira,SB,1564801609.0,-10.46,161.92,76.0,81.52,81.0,13.89
kidal,ML,1564801609.0,18.44,1.41,54.0,89.8,35.0,21.07
le port,FR,1564801610.0,42.87,1.37,0.0,64.99,61.0,1.99
hvide sande,DK,1564801610.0,56.01,8.13,13.0,59.0,100.0,2.24
victoria,BN,1564801569.0,5.28,115.24,75.0,87.8,74.0,3.36
ponazyrevo,RU,1564801610.0,58.36,46.31,71.0,44.8,96.0,7.38
lyndon,US,1564801611.0,38.61,-95.68,90.0,77.0,94.0,5.82
alotau,,,,,,,,
pinega,RU,1564801611.0,64.7,43.39,100.0,42.82,89.0,12.08
