City,Country,Date,Latitude,Longitude,Cloudiness,Max_Temp,Humidity,Wind_Speed
bogorodskoye,RU,1564801612.0,52.37,140.44,95.0,70.9,59.0,2.82
jinxiang,CN,1564801612.0,35.07,116.31,68.0,88.18,69.0,6.49
bangui,CF,1564801612.0,4.39,18.55,40.0,77.0,94.0,2.28
ponta delgada,PT,1564801316.0,37.73,-25.67,75.0,68.0,82.0,3.36
abbeville,FR,1564801613.0,50.11,1.83,75.0,61.0,93.0,6.2
warri,NG,1564801613.0,5.52,5.75,100.0,73.96,94.0,8.86
binzhou,CN,1564801613.0,37.38,117.96,97.0,89.01,65.0,4.03
honiara,SB,1564801614.0,-9.43,159.96,75.0,86.0,74.0,17.22
paamiut,GL,1564801614.0,61.99,-49.67,96.0,43.54,76.0,12.17
challakere,IN,1564801614.0,14.31,76.65,100.0,73.96,71.0,25.95
luderitz,NA,1564801614.0,-26.65,15.16,0.0,46.4,87.0,4.7
kandrian,PG,1564801615.0,-6.21,149.55,96.0,77.56,90.0,10.47
tilichiki,RU,1564801615.0,60.47,166.1,100.0,63.16,46.0,8.34
boyolangu,ID,1564801615.0,-8.09,111.9,0.0,77.56,57.0,10.16
esso,RU,1564801616.0,55.93,158.7,100.0,53.44,84.0,1.77
salas,PE,1564801616.0,-6.27,-79.61,0.0,66.2,29.0,13.87
celestun,MX,1564801616.0,20.87,-90.4,0.0,82.96,82.0,11.07
coihaique,CL,1564801617.0,-45.58,-72.07,100.0,44.6,81.0,4.7
planadas,CO,1564801617.0,3.2,-75.65,20.0,86.0,42.0,2.24
azimur,,,,,,,,
xichang,CN,1564801617.0,27.88,102.25,100.0,63.16,92.0,2.04
pisco,PE,1564801618.0,-13.71,-76.2,90.0,60.8,82.0,8.05
ilulissat,GL,1564801479.0,69.22,-51.1,90.0,41.0,100.0,2.08
tabulbah,,,,,,,,
bargal,,,,,,,,
shimoda,JP,1564801619.0,34.7,138.93,20.0,91.99,79.0,11.41
general roca,AR,1564801619.0,-39.03,-67.58,0.0,44.6,48.0,4.7
lloydminster,CA,1564801619.0,53.28,-110.01,20.0,77.0,69.0,5.82
saint-leu,RE,1564801620.0,-21.15,55.28,0.0,68.0,59.0,9.17
glassboro,US,1564801407.0,39.7,-75.11,1.0,75.99,88.0,8.05
nizhneyansk,,,,,,,,
mitsamiouli,KM,1564801620.0,-11.38,43.28,36.0,77.38,74.0,4.34
lac du bonnet,CA,1564801621.0,50.25,-96.06,0.0,73.0,67.0,2.06
salalah,OM,1564801621.0,17.01,54.1,90.0,77.0,100.0,4.7
yilan,CN,1564801621.0,43.11,129.52,100.0,80.08,58.0,3.33
chitral,PK,1564801621.0,35.85,71.79,0.0,48.76,37.0,7.67
kiruna,SE,1564801622.0,67.86,20.23,63.0,41.0,86.0,3.36
bolungarvik,,,,,,,,
newport,GB,1564801622.0,51.59,-3.0,20.0,62.01,87.0,9.17
hope,US,1564801428.0,33.67,-93.59,1.0,82.0,94.0,3.24
goure,NE,1564801623.0,13.98,10.27,81.0,79.9,60.0,6.96
ambanja,MG,1564801623.0,-13.68,48.45,76.0,76.48,76.0,3.36
rabo de peixe,PT,1564801623.0,37.8,-25.58,20.0,66.2,82.0,4.7
mayor pablo lagerenza,PY,1564801624.0,-19.93,-60.77,100.0,56.5,35.0,3.36
flinders,AU,1564801624.0,-34.58,150.85,0.0,66.99,33.0,8.05
lagoa,PT,1564801624.0,37.14,-8.45,0.0,68.0,77.0,3.36
ribeira grande,PT,1564801624.0,38.52,-28.7,40.0,71.6,73.0,5.82
jurado,,,,,,,,
raudeberg,NO,1564801625.0,61.99,5.14,0.0,55.4,82.0,3.36
kamaishi,JP,1564801625.0,39.28,141.86,40.0,87.8,58.0,4.7
zhitikara,,,,,,,,
cagayan de tawi-tawi,,,,,,,,
yashkino,RU,1564801626.0,55.87,85.43,20.0,71.6,78.0,6.71
hami,CN,1564801626.0,42.84,93.51,0.0,89.44,18.0,6.26
thibodaux,US,1564801431.0,29.8,-90.82,1.0,81.0,78.0,1.07
burkhala,,,,,,,,
ouahigouya,BF,1564801627.0,13.58,-2.42,100.0,80.62,72.0,10.56
east london,ZA,1564801627.0,-33.02,27.91,81.0,56.5,75.0,11.12
grand centre,,,,,,,,
makakilo city,US,1564801628.0,21.35,-158.09,75.0,91.4,49.0,8.05
ahipara,NZ,1564801628.0,-35.17,173.16,92.0,57.0,98.0,1.99
tromso,NO,1564801423.0,69.65,18.96,21.0,46.0,93.0,6.93
laguna,BZ,1564801629.0,16.17,-88.94,20.0,80.6,88.0,1.61
isabela,PH,1564801629.0,10.2,122.99,100.0,81.52,81.0,20.2
half moon bay,US,1564801629.0,37.46,-122.43,90.0,71.6,93.0,6.93
shieli,KZ,1564801629.0,44.18,66.74,0.0,75.04,20.0,9.82
bengkulu,,,,,,,,
teruel,ES,1564801630.0,40.34,-1.11,0.0,68.0,67.0,2.24
auki,NG,1564801630.0,12.18,6.51,68.0,70.9,87.0,8.43
saint-pierre,FR,1564801631.0,48.95,4.24,0.0,57.2,93.0,2.24
douglas,US,1564801631.0,58.28,-134.39,90.0,69.8,52.0,5.82
vincennes,FR,1564801631.0,48.85,2.44,0.0,63.0,82.0,8.05
sobolevo,RU,1564801632.0,54.43,31.9,71.0,48.04,96.0,5.82
azle,US,1564801632.0,32.9,-97.55,75.0,89.6,52.0,12.75
bababe,,,,,,,,
lolua,,,,,,,,
amahai,ID,1564801633.0,-3.31,129.0,17.0,77.02,80.0,12.64
kabugao,PH,1564801633.0,18.02,121.18,91.0,70.54,97.0,4.45
coquimbo,CL,1564801633.0,-29.95,-71.34,0.0,50.0,71.0,9.89
hagerstown,US,1564801540.0,39.64,-77.72,1.0,75.2,83.0,3.83
sao miguel do araguaia,BR,1564801399.0,-13.28,-50.16,36.0,73.96,39.0,2.82
saint-augustin,CA,1564801634.0,45.63,-73.98,20.0,73.99,77.0,2.24
nishihara,JP,1564801634.0,35.74,139.53,20.0,97.0,66.0,14.99
durusu,TR,1564801635.0,37.53,40.83,0.0,87.8,77.0,3.36
sherbrooke,CA,1564801530.0,45.4,-71.89,1.0,64.0,93.0,3.36
itapua poty,,,,,,,,
cururupu,BR,1564801635.0,-1.82,-44.87,52.0,72.88,98.0,2.17
podyuga,RU,1564801636.0,61.09,40.86,100.0,44.08,98.0,6.67
yarada,IN,1564801636.0,17.65,83.27,75.0,82.4,69.0,13.87
taltal,CL,1564801636.0,-25.41,-70.49,0.0,55.42,34.0,4.21
mergui,,,,,,,,
verkhnyaya inta,RU,1564801637.0,65.99,60.32,92.0,58.84,90.0,15.32
maragogi,BR,1564801477.0,-9.01,-35.22,4.0,67.48,93.0,2.86
sembe,,,,,,,,
belaya gora,RU,1564801638.0,68.54,146.19,0.0,61.72,33.0,7.38
santa isabel,MX,1564801638.0,32.63,-115.58,1.0,107.6,14.0,11.41
guines,FR,1564801638.0,48.08,-1.34,100.0,60.01,93.0,2.24
inuvik,CA,1564801638.0,68.36,-133.71,40.0,62.6,48.0,9.17
progreso,UY,1564801639.0,-34.68,-56.22,0.0,48.2,66.0,6.93
odweyne,,,,,,,,
karlshamn,SE,1564801639.0,56.17,14.86,72.0,59.0,100.0,1.12
barth,DE,1564801639.0,54.37,12.73,40.0,57.2,93.0,2.24
srednekolymsk,RU,1564801640.0,67.46,153.71,0.0,57.22,43.0,11.12
tessalit,ML,1564801640.0,20.2,1.01,13.0,94.12,15.0,5.26
hovd,NO,1564801640.0,63.83,10.7,75.0,55.4,76.0,8.05
vardo,US,1564801641.0,39.62,-77.74,1.0,75.99,83.0,3.36
mahanoro,MG,1564801641.0,-19.9,48.8,57.0,61.9,93.0,2.04
christchurch,NZ,1564801392.0,-43.53,172.64,2.0,57.0,50.0,11.41
touros,BR,1564801642.0,-5.2,-35.46,40.0,71.6,100.0,2.24
baringo,KE,1564801642.0,0.47,35.97,3.0,53.26,86.0,2.93
coahuayana,MX,1564801642.0,18.62,-100.35,18.0,75.04,84.0,2.91
beyneu,KZ,1564801642.0,45.32,55.19,67.0,70.18,39.0,4.56
baker city,US,1564801578.0,44.77,-117.83,1.0,81.0,44.0,14.99
abu kamal,SY,1564801643.0,34.45,40.92,0.0,77.38,54.0,24.63
carlyle,CA,1564801643.0,49.63,-102.27,1.0,78.8,57.0,8.05
omsukchan,RU,1564801644.0,62.53,155.8,100.0,41.92,89.0,2.35
hofn,IS,1564801389.0,64.25,-15.21,1.0,43.72,71.0,3.38
grindavik,IS,1564801644.0,63.84,-22.43,75.0,53.6,100.0,2.24
amderma,,,,,,,,
aklavik,CA,1564801645.0,68.22,-135.01,40.0,62.6,48.0,9.17
plouzane,FR,1564801645.0,48.38,-4.62,90.0,61.0,100.0,2.24
naze,NG,1564801645.0,5.43,7.07,100.0,71.98,98.0,4.0
isangel,VU,1564801646.0,-19.55,169.27,40.0,75.2,60.0,11.41
lisakovsk,KZ,1564801646.0,52.55,62.49,0.0,58.84,70.0,17.87
montepuez,MZ,1564801646.0,-13.13,39.0,0.0,65.14,89.0,0.98
tashla,RU,1564801646.0,53.71,49.75,40.0,55.4,82.0,4.47
grand river south east,,,,,,,,
monywa,MM,1564801647.0,22.12,95.13,100.0,81.16,80.0,6.53
okato,NZ,1564801647.0,-39.19,173.88,0.0,55.99,62.0,8.99
walajapet,IN,1564801647.0,12.92,79.37,100.0,80.62,57.0,17.02
mocuba,MZ,1564801648.0,-16.84,36.99,81.0,67.12,97.0,1.88
oranjemund,ZA,1564801648.0,-28.55,16.43,0.0,55.24,86.0,11.99
san rafael,AR,1564801648.0,-34.61,-68.33,0.0,45.16,27.0,7.18
macaboboni,,,,,,,,
tiarei,PF,1564801649.0,-17.53,-149.33,20.0,82.4,69.0,12.75
pizarro,CO,1564801649.0,4.95,-77.37,100.0,79.36,85.0,11.12
sisimiut,GL,1564801649.0,66.94,-53.67,45.0,44.26,81.0,10.42
cabo san lucas,MX,1564801431.0,22.89,-109.91,20.0,89.6,43.0,5.82
sao joao da barra,BR,1564801628.0,-21.64,-41.05,63.0,67.48,88.0,2.71
moberly,US,1564801650.0,39.42,-92.44,1.0,75.0,69.0,6.93
calvinia,ZA,1564801650.0,-31.47,19.78,0.0,38.14,79.0,2.89
otradinskiy,,,,,,,,
sheregesh,RU,1564801651.0,52.93,87.98,0.0,80.8,49.0,4.43
raton,US,1564801651.0,36.9,-104.44,20.0,66.99,63.0,13.87
filingue,NE,1564801652.0,14.35,3.32,100.0,83.5,60.0,13.87
okhotsk,RU,1564801652.0,59.36,143.24,82.0,61.72,75.0,7.63
dingle,PH,1564801652.0,11.0,122.67,100.0,81.7,79.0,13.44
marzuq,YE,1564801652.0,14.4,46.47,100.0,73.06,58.0,6.8
wahran,,,,,,,,
orta nova,IT,1564801653.0,41.33,15.71,40.0,79.0,88.0,12.75
verkhoyansk,RU,1564801653.0,67.55,133.39,0.0,63.52,30.0,7.09
santa maria,BR,1564801654.0,-16.02,-48.01,0.0,69.8,49.0,2.24
uvinza,TZ,1564801654.0,-5.1,30.39,75.0,69.82,67.0,4.47
kaeo,NZ,1564801654.0,-35.1,173.78,58.0,59.0,98.0,1.99
vostok,RU,1564801654.0,46.45,135.83,28.0,79.36,49.0,8.21
margate,AU,1564801655.0,-43.03,147.26,40.0,51.8,50.0,20.8
bathsheba,BB,1564801655.0,13.22,-59.52,20.0,82.4,74.0,24.16
tsihombe,,,,,,,,
te anau,NZ,1564801656.0,-45.41,167.72,100.0,42.46,88.0,9.86
olinda,AU,1564801656.0,-37.84,145.39,75.0,57.0,66.0,13.87
alakurtti,RU,1564801656.0,66.96,30.34,92.0,41.0,86.0,4.0
ayagoz,KZ,1564801656.0,47.96,80.43,94.0,75.94,48.0,6.17
binabalian,,,,,,,,
awjilah,LY,1564801657.0,29.14,21.3,0.0,79.0,51.0,11.83
marcona,,,,,,,,
bilma,NE,1564801657.0,18.69,12.92,92.0,88.9,41.0,17.52
lata,IN,1564801658.0,30.78,78.62,54.0,50.2,79.0,3.56
jalu,LY,1564801658.0,29.03,21.55,0.0,79.9,48.0,8.43
tirlyanskiy,RU,1564801658.0,54.22,58.58,100.0,46.24,97.0,6.55
parichha,IN,1564801659.0,25.52,78.75,100.0,87.28,62.0,2.28
dodola,BF,1564801659.0,10.12,-3.28,100.0,70.9,97.0,7.16
mayari,,,,,,,,
vera cruz,BR,1564801660.0,-12.96,-38.61,20.0,77.0,78.0,5.82
praya,ID,1564801660.0,-8.71,116.27,75.0,84.2,58.0,19.46
novobirilyussy,RU,1564801660.0,56.95,90.69,62.0,78.28,53.0,4.14
port blair,IN,1564801660.0,11.67,92.75,100.0,83.14,79.0,22.53
castlecomer,IE,1564801661.0,52.81,-7.21,100.0,61.0,94.0,4.0
buala,SB,1564801661.0,-8.15,159.59,100.0,82.6,74.0,10.8
ahumada,,,,,,,,
lavumisa,ZA,1564801662.0,-27.31,31.88,0.0,59.0,100.0,2.24
gayeri,BF,1564801662.0,12.65,0.49,94.0,77.92,73.0,12.84
nioro,GM,1564801662.0,13.79,-15.05,43.0,77.2,73.0,10.8
roebourne,AU,1564801663.0,-20.77,117.15,89.0,76.48,13.0,19.8
gravdal,NO,1564801663.0,59.79,5.78,0.0,61.0,82.0,2.24
vaitape,PF,1564801663.0,-16.52,-151.75,22.0,79.0,82.0,12.24
erenhot,CN,1564801664.0,43.65,111.97,0.0,87.46,19.0,3.13
gympie,AU,1564801664.0,-26.2,152.66,22.0,64.0,72.0,1.99
vikindu,TZ,1564801664.0,-6.98,39.3,23.0,67.12,97.0,1.79
sorong,ID,1564801664.0,-0.86,131.25,61.0,83.32,63.0,12.95
fuxin,CN,1564801665.0,42.02,121.65,100.0,69.1,92.0,10.16
richards bay,ZA,1564801665.0,-28.77,32.06,0.0,69.28,70.0,18.97
traralgon,AU,1564801665.0,-38.19,146.54,100.0,50.38,80.0,9.82
sabha,LY,1564801666.0,27.03,14.43,0.0,77.74,40.0,5.97
neutraubling,DE,1564801666.0,48.99,12.19,48.0,61.0,93.0,3.36
mehamn,NO,1564801666.0,71.03,27.85,75.0,42.8,87.0,2.24
ust-kamchatsk,,,,,,,,
qui nhon,,,,,,,,
gondal,IN,1564801667.0,21.96,70.8,75.0,82.0,94.0,10.29
valparaiso,US,1564801667.0,41.47,-87.06,1.0,73.0,100.0,4.18
surgut,RU,1564801668.0,61.25,73.4,0.0,64.4,82.0,8.95
oranjestad,AW,1564801596.0,12.52,-70.03,20.0,82.4,78.0,17.22
ouadda,CF,1564801668.0,8.07,22.4,100.0,66.4,95.0,1.14
payo,ID,1564801668.0,-3.75,103.64,0.0,80.8,36.0,3.87
kijang,KR,1564801669.0,35.24,129.21,0.0,93.2,49.0,5.82
padang,ID,1564801669.0,-0.92,100.36,41.0,80.26,76.0,2.44
kollumerland,,,,,,,,
looc,PH,1564801669.0,10.32,123.95,90.0,84.2,74.0,9.17
simao,CN,1564801670.0,22.76,100.79,6.0,81.16,60.0,3.15
nizhniy kuranakh,RU,1564801670.0,58.84,125.49,100.0,75.22,48.0,11.14
asau,,,,,,,,
shache,CN,1564801671.0,38.42,77.24,27.0,77.0,80.0,6.69
gorontalo,ID,1564801671.0,0.54,123.06,85.0,82.6,62.0,12.62
blackfoot,US,1564801671.0,43.19,-112.35,1.0,84.2,30.0,8.05
sidney,US,1564801671.0,47.72,-104.16,1.0,84.2,57.0,6.93
maumere,ID,1564801672.0,-8.63,122.22,97.0,82.06,50.0,10.11
sesheke,NA,1564801672.0,-17.47,24.29,0.0,55.4,62.0,3.36
voh,NC,1564801672.0,-20.95,164.69,0.0,69.28,64.0,22.64
basna,IN,1564801673.0,25.97,73.75,100.0,87.28,67.0,7.18
boulsa,BF,1564801673.0,12.66,-0.57,42.0,77.92,76.0,13.44
kenai,US,1564801674.0,60.55,-151.26,1.0,72.0,63.0,24.16
altay,CN,1564801674.0,47.83,88.13,63.0,73.96,33.0,3.02
saint-dizier,FR,1564801674.0,48.64,4.95,0.0,57.2,82.0,4.92
vagur,FO,1564801674.0,61.47,-6.81,100.0,54.16,82.0,7.02
bam,IR,1564801675.0,29.11,58.36,0.0,75.94,12.0,0.81
bubaque,GW,1564801675.0,11.28,-15.83,100.0,78.28,81.0,10.22
haines junction,CA,1564801675.0,60.75,-137.51,100.0,62.98,48.0,5.55
waw,,,,,,,,
korla,,,,,,,,
minsk,BY,1564801434.0,53.9,27.56,0.0,53.6,100.0,4.47
menongue,AO,1564801676.0,-14.66,17.68,0.0,50.2,24.0,4.03
svetlyy,,,,,,,,
krasnyy oktyabr,RU,1564801677.0,56.12,38.88,71.0,48.04,95.0,5.99
boddam,GB,1564801677.0,57.47,-1.78,0.0,55.99,100.0,1.12
the valley,AI,1564801677.0,18.22,-63.06,40.0,82.4,83.0,16.11
ondjiva,AO,1564801678.0,-17.07,15.73,31.0,49.48,19.0,2.53
kedrovyy,RU,1564801678.0,56.17,91.82,0.0,75.2,69.0,4.47
bereda,ES,1564801678.0,43.27,-7.54,11.0,63.0,100.0,4.7
knysna,ZA,1564801678.0,-34.04,23.05,0.0,50.0,66.0,5.82
phan thiet,VN,1564801679.0,10.93,108.1,99.0,74.5,88.0,12.28
chapar,,,,,,,,
bocas del toro,PA,1564801487.0,9.33,-82.25,100.0,59.0,61.0,4.0
tamale,GH,1564801679.0,9.4,-0.84,89.0,73.06,93.0,5.79
bad doberan,DE,1564801680.0,54.11,11.9,40.0,57.99,93.0,2.24
umzimvubu,,,,,,,,
svetlogorsk,RU,1564801680.0,53.14,59.15,40.0,55.4,76.0,13.42
lockhart,AU,1564801681.0,-35.22,146.72,90.0,51.8,100.0,6.93
cap malheureux,MU,1564801681.0,-19.98,57.61,75.0,66.99,93.0,11.41
reconquista,AR,1564801681.0,-29.14,-59.64,0.0,45.88,65.0,1.48
coari,BR,1564801681.0,-4.09,-63.14,100.0,80.08,70.0,2.06
airai,TL,1564801682.0,-8.93,125.41,20.0,82.78,41.0,1.07
perdoes,BR,1564801682.0,-21.09,-45.09,90.0,68.56,51.0,3.24
tenerife,CO,1564801682.0,9.9,-74.86,45.0,75.76,93.0,6.69
irtyshskiy,RU,1564801683.0,58.33,68.13,99.0,53.44,93.0,11.52
sangar,RU,1564801683.0,63.92,127.47,100.0,53.44,75.0,12.19
smithers,CA,1564801442.0,54.78,-127.17,20.0,73.4,35.0,3.36
severo-kurilsk,RU,1564801684.0,50.68,156.12,100.0,50.56,88.0,8.81
mercedes,UY,1564801684.0,-33.25,-58.03,0.0,46.0,69.0,4.0
bac lieu,,,,,,,,
varzea grande,BR,1564801685.0,-29.42,-50.86,75.0,50.0,71.0,6.93
nichinan,JP,1564801685.0,31.65,131.31,20.0,86.0,74.0,10.29
itaituba,BR,1564801685.0,-4.26,-55.99,0.0,75.58,56.0,1.48
tarko-sale,RU,1564801685.0,64.92,77.78,0.0,69.01,74.0,22.01
atar,MR,1564801686.0,20.52,-13.05,0.0,91.06,14.0,15.14
alihe,CN,1564801686.0,50.57,123.73,0.0,87.46,38.0,0.83
pingzhuang,,,,,,,,
maine-soroa,NE,1564801687.0,13.21,12.02,55.0,77.74,65.0,7.36
mglin,RU,1564801687.0,53.06,32.85,77.0,51.64,94.0,6.24
galveston,US,1564801687.0,40.58,-86.19,1.0,70.0,64.0,3.36
kallithea,GR,1564801687.0,37.96,23.7,0.0,82.99,69.0,4.74
trincomalee,LK,1564801688.0,8.58,81.23,100.0,85.66,55.0,10.78
evensk,RU,1564801688.0,61.92,159.24,100.0,56.86,50.0,2.98
sterling,US,1564801688.0,39.0,-77.4,40.0,78.01,73.0,6.93
bobcaygeon,CA,1564801689.0,44.54,-78.55,1.0,66.0,82.0,2.21
krasnoselkup,,,,,,,,
camana,,,,,,,,
araguacu,,,,,,,,
kloulklubed,PW,1564801690.0,7.04,134.26,75.0,84.2,74.0,19.46
kirovskiy,RU,1564801690.0,45.09,133.51,23.0,80.44,65.0,4.38
mitchell,US,1564801487.0,43.71,-98.03,90.0,69.8,83.0,8.05
helong,CN,1564801690.0,25.94,116.13,100.0,84.04,67.0,3.89
troitsko-pechorsk,RU,1564801691.0,62.71,56.19,100.0,53.62,97.0,7.72
kutum,SD,1564801691.0,14.2,24.66,33.0,71.26,72.0,9.89
havelock,US,1564801547.0,34.88,-76.9,75.0,78.01,88.0,3.36
terrace,CA,1564801691.0,54.52,-128.61,75.0,75.2,38.0,13.87
launceston,AU,1564801519.0,-41.43,147.14,40.0,57.99,58.0,6.93
nyrob,RU,1564801692.0,60.74,56.73,100.0,52.36,98.0,6.62
luanda,AO,1564801692.0,-8.83,13.24,75.0,68.0,100.0,4.7
tucuman,PE,1564801693.0,-17.17,-70.89,0.0,47.86,43.0,3.29
dobson,NZ,1564801693.0,-42.45,171.31,100.0,47.14,79.0,6.58
tateyama,JP,1564801693.0,36.66,137.31,20.0,97.0,66.0,9.17
aksarka,RU,1564801693.0,66.56,67.8,75.0,59.74,91.0,15.32
prince george,CA,1564801694.0,53.92,-122.75,90.0,57.2,71.0,8.05
rodeo,MX,1564801541.0,25.18,-104.56,0.0,74.5,34.0,7.56
giubiasco,CH,1564801694.0,46.17,9.01,40.0,66.0,100.0,10.07
tawkar,,,,,,,,
san policarpo,PH,1564801695.0,12.18,125.51,100.0,76.84,83.0,14.58
zamosc,PL,1564801695.0,50.72,23.25,0.0,59.0,87.0,2.24
rosarito,CO,1564801695.0,4.91,-75.23,75.0,75.2,73.0,4.7
vila velha,BR,1564801696.0,-3.71,-38.6,75.0,86.0,74.0,13.87
belyy yar,RU,1564801696.0,53.6,91.39,0.0,75.2,69.0,2.24
houston,US,1564801055.0,29.76,-95.37,75.0,87.01,62.0,5.82
guerrero negro,MX,1564801696.0,27.97,-114.04,37.0,67.84,87.0,16.78
sistranda,NO,1564801697.0,63.73,8.83,75.0,54.0,81.0,1.12
petropavlovsk-kamchatskiy,RU,1564801697.0,53.05,158.65,75.0,60.8,100.0,8.95
phalombe,MW,1564801697.0,-15.81,35.65,3.0,59.74,92.0,1.68
abomey,BJ,1564801698.0,7.18,1.99,90.0,71.08,96.0,6.89
altamira,BR,1564801698.0,-3.2,-52.21,50.0,77.56,71.0,2.15
torva,EE,1564801698.0,58.0,25.93,0.0,48.2,93.0,6.93
posse,BR,1564801699.0,-14.08,-46.36,2.0,70.72,45.0,4.88
bontang,ID,1564801699.0,0.12,117.47,44.0,86.92,54.0,4.47
mayo,CA,1564801699.0,63.59,-135.9,90.0,64.4,42.0,4.7
okha,RU,1564801700.0,53.59,142.95,99.0,58.12,84.0,4.5
puerto baquerizo moreno,EC,1564801700.0,-0.9,-89.6,100.0,67.48,86.0,9.15
adrar,DZ,1564801700.0,27.87,-0.29,40.0,100.4,9.0,6.93
surt,LY,1564801700.0,31.21,16.59,0.0,79.54,70.0,1.07
isla mujeres,MX,1564801701.0,21.23,-86.73,75.0,78.8,100.0,2.24
moussoro,TD,1564801701.0,13.64,16.49,91.0,80.08,65.0,4.32
lakes entrance,AU,1564801701.0,-37.88,147.99,100.0,57.99,61.0,3.0
sola,TZ,1564801702.0,-3.17,33.8,0.0,64.96,73.0,10.94
tianpeng,CN,1564801702.0,28.88,112.34,17.0,90.52,60.0,6.08
mount isa,AU,1564801702.0,-20.73,139.49,0.0,75.2,31.0,13.87
wasilla,US,1564801554.0,61.58,-149.44,75.0,73.0,56.0,5.82
